CF	LargePlot	SmallPlot	Complex
Setd1a	TRUE	TRUE	KMTs
Setd1b	TRUE	TRUE	KMTs
Wdr82	TRUE	TRUE	KMTs
Kmt2d	TRUE	TRUE	KMTs
Kmt2a	TRUE	TRUE	KMTs
Men1	TRUE	TRUE	KMTs
Prmt1	TRUE	FALSE	PRMTs
Carm1	TRUE	FALSE	PRMTs
Prmt5	TRUE	FALSE	PRMTs
Smarcd2	TRUE	TRUE	SWI/SNF
Smarcd1	TRUE	TRUE	SWI/SNF
Brd9	TRUE	TRUE	SWI/SNF
Pbrm1	TRUE	TRUE	SWI/SNF
Yeats4	TRUE	TRUE	SCRAP
Znhit1	TRUE	TRUE	SCRAP
Smarca5	TRUE	TRUE	ISWI
Chd4	TRUE	TRUE	NuRD
Rbbp4	TRUE	TRUE	NuRD
Hdac3	TRUE	TRUE	
Setdb1	TRUE	TRUE	HETchr
Atf7ip	TRUE	TRUE	HETchr
Setdb2	TRUE	FALSE	HETchr
Ehmt1	TRUE	FALSE	HETchr
Hdac1	TRUE	TRUE	coREST
Rcor1	TRUE	TRUE	coREST
Rcor2	TRUE	TRUE	coREST
Ezh2	TRUE	TRUE	PRC2
Stag2	TRUE	TRUE	Cohesin
Ash1l	TRUE	FALSE	
Meis1	TRUE	TRUE	TFs
Cited4	TRUE	FALSE	TFs
Klf1	TRUE	TRUE	TFs
Cebpa	TRUE	TRUE	TFs
Cebpb	TRUE	FALSE	TFs
Ebf1	TRUE	TRUE	TFs
Pax5	TRUE	FALSE	TFs
