Gene list	Programme
Cd34	Progenitor
Kit	Progenitor
Meis1	Progenitor
Hoxa4	Progenitor
Hoxa5	Progenitor
Hoxa7	Progenitor
Hoxa9	Myeloid
Mpo	Myeloid
Elane	Myeloid
Ctsg	Myeloid
Spi1	Myeloid
Cebpa	Myeloid
Cebpb	Myeloid
Gfi1	Myeloid
Cebpe	Myeloid
Lyz1	Myeloid
Chil1	Myeloid
Camp	Myeloid
Ly6c1	Myeloid
Csf1r	Myeloid
Irf8	Myeloid
Mef2c	Myeloid
Car1	Erythroid
Gypa	Erythroid
Hbb-bt	Erythroid
Hbb-bs	Erythroid
Hba-a1	Erythroid
Gata2	Erythroid
Gata1	Erythroid
Gfi1b	Erythroid
Klf1	Erythroid
Sox6	Erythroid
Klf9	Erythroid
Nfe2l2	Erythroid
Cited4	Megak
Tal1	Megak
Itga2b	Megak
Cavin2	Megak
Vwf	Megak
Gp1ba	Megak
Gp1bb	Megak
Nfix	Megak
Nfia	Megak
Cpa3	Baso
Prss34	Baso
Fcer1a	Baso
Il7r	Bcell
Cd19	Bcell
Pax5	Bcell
Ebf1	Bcell
