Gene	CF	Population
0610038B21Rik	Smarcb1	Leukemia
1110019B22Rik	Smarcb1	Leukemia
1110019D14Rik	Smarcb1	Leukemia
1110020A21Rik	Smarcb1	Leukemia
1200007C13Rik	Smarcb1	Leukemia
1500035N22Rik	Smarcb1	Leukemia
1600014C23Rik	Smarcb1	Leukemia
1600019K03Rik	Smarcb1	Leukemia
1700001C19Rik	Smarcb1	Leukemia
1700010G06Rik	Smarcb1	Leukemia
1700011C11Rik	Smarcb1	Leukemia
1700011L03Rik	Smarcb1	Leukemia
1700012A03Rik	Smarcb1	Leukemia
1700012B07Rik	Smarcb1	Leukemia
1700012C08Rik	Smarcb1	Leukemia
1700012I11Rik	Smarcb1	Leukemia
1700020N01Rik	Smarcb1	Leukemia
1700022E09Rik	Smarcb1	Leukemia
1700025G04Rik	Smarcb1	Leukemia
1700025L06Rik	Smarcb1	Leukemia
1700026J14Rik	Smarcb1	Leukemia
1700029F12Rik	Smarcb1	Leukemia
1700041M19Rik	Smarcb1	Leukemia
1700049E15Rik	Smarcb1	Leukemia
1700054M17Rik	Smarcb1	Leukemia
1700057G04Rik	Smarcb1	Leukemia
1700063H06Rik	Smarcb1	Leukemia
1700064M15Rik	Smarcb1	Leukemia
1700094M24Rik	Smarcb1	Leukemia
1700111E14Rik	Smarcb1	Leukemia
1700123O12Rik	Smarcb1	Leukemia
1810046K07Rik	Smarcb1	Leukemia
1810058I24Rik	Smarcb1	Leukemia
1810064F22Rik	Smarcb1	Leukemia
2010001K21Rik	Smarcb1	Leukemia
2010001M07Rik	Smarcb1	Leukemia
2010110G14Rik	Smarcb1	Leukemia
2010300C02Rik	Smarcb1	Leukemia
2310016G11Rik	Smarcb1	Leukemia
2310061N02Rik	Smarcb1	Leukemia
2410021H03Rik	Smarcb1	Leukemia
2610300M13Rik	Smarcb1	Leukemia
2810410L24Rik	Smarcb1	Leukemia
2810455O05Rik	Smarcb1	Leukemia
2900005J15Rik	Smarcb1	Leukemia
3100003L05Rik	Smarcb1	Leukemia
3110004A20Rik	Smarcb1	Leukemia
3300005D01Rik	Smarcb1	Leukemia
4631405J19Rik	Smarcb1	Leukemia
4732440D04Rik	Smarcb1	Leukemia
4831440D22Rik	Smarcb1	Leukemia
4921511I17Rik	Smarcb1	Leukemia
4921524J17Rik	Smarcb1	Leukemia
4921524L21Rik	Smarcb1	Leukemia
4921531C22Rik	Smarcb1	Leukemia
4930401O12Rik	Smarcb1	Leukemia
4930404H24Rik	Smarcb1	Leukemia
4930405D01Rik	Smarcb1	Leukemia
4930405J17Rik	Smarcb1	Leukemia
4930422M22Rik	Smarcb1	Leukemia
4930425L21Rik	Smarcb1	Leukemia
4930426L09Rik	Smarcb1	Leukemia
4930430E12Rik	Smarcb1	Leukemia
4930434B07Rik	Smarcb1	Leukemia
4930438A08Rik	Smarcb1	Leukemia
4930447J18Rik	Smarcb1	Leukemia
4930447N08Rik	Smarcb1	Leukemia
4930449E18Rik	Smarcb1	Leukemia
4930453C13Rik	Smarcb1	Leukemia
4930471G03Rik	Smarcb1	Leukemia
4930474N09Rik	Smarcb1	Leukemia
4930478L05Rik	Smarcb1	Leukemia
4930484H19Rik	Smarcb1	Leukemia
4930484I04Rik	Smarcb1	Leukemia
4930488B22Rik	Smarcb1	Leukemia
4930488N15Rik	Smarcb1	Leukemia
4930503O07Rik	Smarcb1	Leukemia
4930518J21Rik	Smarcb1	Leukemia
4930526H09Rik	Smarcb1	Leukemia
4930542M03Rik	Smarcb1	Leukemia
4930544F09Rik	Smarcb1	Leukemia
4930544G11Rik	Smarcb1	Leukemia
4930544I03Rik	Smarcb1	Leukemia
4930545L23Rik	Smarcb1	Leukemia
4930548J01Rik	Smarcb1	Leukemia
4930551I23Rik	Smarcb1	Leukemia
4930551L18Rik	Smarcb1	Leukemia
4930554G24Rik	Smarcb1	Leukemia
4930558F17Rik	Smarcb1	Leukemia
4930572O13Rik	Smarcb1	Leukemia
4930573C15Rik	Smarcb1	Leukemia
4930579D07Rik	Smarcb1	Leukemia
4930579D09Rik	Smarcb1	Leukemia
4930579K19Rik	Smarcb1	Leukemia
4930579O11Rik	Smarcb1	Leukemia
4930583I09Rik	Smarcb1	Leukemia
4930591A17Rik	Smarcb1	Leukemia
4930594O21Rik	Smarcb1	Leukemia
4930598F16Rik	Smarcb1	Leukemia
4930598N05Rik	Smarcb1	Leukemia
4931407E12Rik	Smarcb1	Leukemia
4931408C20Rik	Smarcb1	Leukemia
4931431C16Rik	Smarcb1	Leukemia
4932411K12Rik	Smarcb1	Leukemia
4932413F04Rik	Smarcb1	Leukemia
4932416K20Rik	Smarcb1	Leukemia
4933402J10Rik	Smarcb1	Leukemia
4933404G15Rik	Smarcb1	Leukemia
4933406J10Rik	Smarcb1	Leukemia
