Factor	Complex	Plot
Stag2	Cohesin	1
Mau2	Cohesin	1
Rad21	Cohesin	1
Pds5a	Cohesin	1
Med1	Mediator	1
Med7	Mediator	1
Med8	Mediator	1
Med20	Mediator	1
Phf5a	RNA elongation	1
Ash1l	RNA elongation	1
Ssrp1	RNA elongation	1
Supt16	RNA elongation	1
Kmt2a	MLL	1
Kmt2b	MLL	1
Men1	MLL	1
Kmt2d	MLL4	1
Ncoa6	MLL4	1
Kdm6a	MLL4	1
Setd1a	SET1	1
Cxxc1	SET1	1
Setd1b	SET1	1
Wdr82	SET1	1
Smarca4	cBAF	1
Smarcc1	cBAF	1
Ss18	cBAF	1
Dpf2	cBAF	1
Arid1a	cBAF	1
Arid1b	cBAF	1
Smarcd2	cBAF	1
Smarcd1	ncBAF	1
Brd9	ncBAF	1
Bcl11a	BAF	1
Smarce1	BAF	1
Actl6a	BAF	1
Smarca5	ISWI	2
Baz1b	ISWI	2
Yeats4	SCRAP	2
Actr6	SCRAP	2
Znhit	SCRAP	2
Nfrkb	INO80	2
Chaf1a	CAF-1	2
Chaf1b	CAF-1	2
Chd1	Chd1	2
Chd4	NuRD	2
Mbd2	NuRD	2
Zmyd8	NuRD	2
Rbbp4	NuRD	2
Hdac1	NuRD	2
Hdac3	Ncor	2
Hdac4	hdacs	2
Hdac7	hdacs	2
Gatad1	Repr	2
Setdb1	Heterochromatin	2
Atf7ip	Heterochromatin	2
Mbd1	Heterochromatin	2
Cbx3	Heterochromatin	2
Ehmt1	Heterochromatin	2
Kdm1a	coREST	2
Rcor1	coREST	2
Rcor2	coREST	2
Phc3	PRC1	2
Cbx6	PRC1	2
Ezh2	PRC2	2
Mtf2	PRC2	2
Prmt1	PRMTs	2
Carm1	PRMTs	2
Prmt5	PRMTs	2
Cebpa	TF	2
