Gene_ID,LSK_1,LSK_2,LSK_3,LSK_4,LSK_5,LSK_6,LSK_7,LSK_8,GMP_1,MEP-1
S100a8,269.5,297.1,173.8,190.7,824.4,127.0,547.9,26.4,724.5,29.5
S100a9,151.1,248.3,108.2,147.9,412.2,93.3,403.7,6.6,41.3,12.2
Rplp1,70341.5,77193.6,71396.2,78500.2,80140.2,61198.4,73831.1,81197.6,81108.2,70657.2
Tmsb4x,6729.5,8188.1,9881.0,10265.8,13690.9,10117.4,15443.4,5914.2,12075.6,8703.1
Aldoa,5085.1,3783.4,5684.3,4831.6,4463.6,5602.4,4943.6,5373.0,7613.9,5902.9
Rps26,39297.0,29552.5,40015.9,41388.1,39092.9,32919.7,42275.5,44793.5,44443.9,47551.4
Actb,41689.5,36551.1,50441.5,60782.4,40084.1,46557.2,44858.8,29340.9,29120.1,34020.1
Rps5,43785.0,32744.9,39180.1,34303.8,42149.1,35971.0,41464.4,34058.7,41379.7,34786.6
Ifitm1,17942.9,14459.1,16878.2,19037.7,16225.5,13313.0,17673.6,5162.1,3872.5,3538.7
Ngp,25.5,20.6,17.6,22.1,64.0,11.9,53.4,0.7,4.1,0.0
mt.Cytb,71216.3,29718.5,85718.9,60213.0,87833.3,68788.6,93119.5,62316.6,74749.1,62282.4
Rps2,29049.1,18723.9,34543.3,22038.1,33670.2,32586.5,32464.2,27026.5,29564.5,25579.9
Mt1,1656.6,1272.0,1789.1,1934.9,1941.0,1651.5,2417.5,671.0,3967.2,1313.9
Malat1,5550.6,3800.7,7477.1,7266.8,9440.7,10083.8,11129.2,5438.9,6152.8,7066.7
Ldha,9069.9,6703.6,12254.4,8256.3,8062.7,10580.8,10351.8,11156.7,10742.3,13521.3
Pkm,7670.6,8107.9,6736.5,9042.7,5948.3,8136.1,4349.8,8882.5,11129.2,8229.7
Gpx1,7362.3,8659.8,7399.4,7070.5,6552.6,5578.5,6532.2,9341.9,16103.7,8433.7
Rpl17,12088.2,10395.9,11664.5,10275.5,12522.3,11936.1,13822.1,15535.0,16533.9,14333.0
Txn1,18890.1,8741.2,16073.8,13709.9,13748.2,15389.9,21909.1,14726.2,13649.6,13911.3
Gnai2,6829.5,6398.9,7571.4,7460.3,7609.1,8043.8,8347.4,9819.2,11846.9,9065.2
Ybx1,17730.6,8384.4,18367.7,11001.1,15533.1,17435.3,19153.5,11766.4,16516.3,15078.7
mt.Nd4,37478.1,49277.4,52997.0,76168.7,59533.8,33562.0,26659.8,74646.6,88691.6,46873.3
Arpc2,10799.0,6490.0,14184.9,12232.5,11995.3,11722.3,12132.4,10653.7,13062.5,11149.2
Rps15,23929.3,23354.2,27314.0,24773.2,28761.1,22335.6,24971.9,21384.6,18043.7,17914.1
Rps19,17465.2,18289.1,16381.7,16435.3,18813.4,13272.9,17905.9,19801.2,22324.1,18179.9
Ccl6,13.3,18.4,2.8,8.3,50.7,4.3,131.1,5.3,27.1,9.3
Rps15a,23833.3,26722.3,22414.6,25303.9,26912.2,16954.6,24105.5,21317.3,25495.2,18516.8
Rpl37a,13288.5,12505.0,12796.2,12752.1,14177.8,11722.3,13862.4,12902.9,13059.1,13202.3
Rplp0,18299.1,17645.0,18479.6,21300.1,19076.2,14591.3,18557.8,15676.7,17146.7,14369.7
Rpl26,14595.0,12808.7,16823.7,13890.9,17056.5,14271.2,22218.2,17310.8,17211.7,18414.1
Rps14,16448.6,18031.0,15331.4,14557.1,15719.9,12381.0,17741.0,19188.2,21083.5,19286.2
Srgn,4269.6,2689.3,4372.3,4074.3,4807.7,3552.6,4912.7,3572.8,7245.9,3830.4
Ly6c2,19.4,22.8,37.0,37.3,365.5,38.0,98.3,245.9,5185.5,99.1
Rpl11,19471.9,17661.3,18562.8,22047.8,19645.8,15405.1,18983.9,22571.8,23311.0,19457.9
Rps24,21676.6,27044.4,21656.5,23883.1,25736.9,17817.3,33725.8,21254.1,24170.7,23923.3
Rpl14,30171.9,27096.4,28694.4,33674.9,27809.9,25860.0,34934.1,28259.2,30847.7,29855.7
Hmgb2,12445.4,3841.9,17111.2,12829.5,13738.9,15923.8,21078.3,10039.4,10322.3,10675.8
Tagln2,5140.2,5413.2,6145.7,6686.3,6411.2,5158.5,5540.3,5577.4,7206.6,6096.1
Chil3,25.5,21.7,16.6,9.7,146.7,11.9,52.5,1.3,16.9,0.0
Ubb,8030.9,4186.8,8271.3,6036.8,7898.6,7044.4,7659.9,8384.2,8602.8,7764.2
Ly6e,6011.9,4490.4,5966.3,6020.2,5372.0,5145.5,6140.7,15351.1,20560.6,15264.8
Gpi1,1777.0,2304.3,1502.4,1773.2,1535.4,1713.4,1130.5,2285.4,4216.2,2341.2
Itm2b,4523.7,2700.1,4404.7,4410.1,5821.6,3838.0,5092.5,4413.9,8842.2,4573.2
Rpl18a,23041.3,26989.1,23051.7,27287.1,23194.3,16879.8,22709.0,21060.9,22178.0,18154.1
Pabpc1,13093.5,16435.9,10468.1,11964.4,11405.7,13130.8,8997.4,13393.3,19353.2,15418.5
Fau,8697.4,10213.8,8944.4,10464.9,8952.5,8804.5,10587.8,6984.0,11004.1,7479.7
Cdkn1a,1149.3,1329.4,1330.5,1210.7,2154.4,1501.8,1656.0,1038.2,803.6,1024.4
B2m,14873.6,8487.4,12725.0,15528.7,14770.1,11310.0,18016.4,15819.1,10975.0,13147.0
Plac8,440.9,381.7,331.0,457.5,1352.7,481.8,732.5,1698.1,14802.9,2869.9
Lta4h,1369.8,1146.2,1372.1,1058.6,1263.3,1328.2,1206.4,1401.4,2448.0,1098.4
Rpl4,17148.8,17240.5,17591.1,14898.5,16943.2,14949.4,18406.0,14755.8,19081.3,15652.0
Rps13,15495.2,15354.8,15996.2,18646.6,16535.0,12200.8,15815.3,14854.0,17612.1,12996.1
Elane,6.1,7.6,5.5,12.4,65.4,7.6,26.2,34.3,3477.5,46.0
Rpl3,16173.0,18265.3,15071.6,13889.6,15454.4,12557.8,16381.9,13488.9,15078.2,13644.1
Lgals3,70.4,43.4,12.9,11.1,365.5,18.4,172.3,123.3,170.5,45.3
Prdx5,1290.2,1401.0,1461.8,1318.5,1408.7,1181.7,1609.2,1172.0,2444.6,1094.1
Rpl13,14137.7,11602.8,13942.7,15595.0,13712.2,11310.0,15603.6,11005.1,12058.0,10016.3
Rpl36a,12037.1,12142.9,10356.2,11793.0,9898.3,8808.8,14209.9,9104.6,11420.8,8649.2
Rps3,15394.2,16072.6,16261.5,21868.1,17862.3,12271.4,15754.4,15805.2,18192.5,13932.2
Mmp8,7.1,8.7,13.9,1.4,44.0,6.5,7.5,3.3,55.5,0.0
Calm1,8342.2,6558.3,8970.3,7080.2,8497.6,8358.5,9625.0,7383.5,8767.2,8151.4
Rpl39,10216.2,12539.7,9650.8,12918.0,11849.9,7337.4,10719.9,12666.9,13619.2,11169.3
S100a6,1477.0,1667.8,1373.0,1404.2,1562.1,1138.3,1756.2,809.5,263.8,396.5
Fth1,1959.7,3177.2,1674.4,1629.4,2315.8,1120.9,1748.7,2682.9,2360.7,2719.8
Lyz2,1509.6,1006.3,1917.6,1541.0,5258.6,2214.7,2814.6,1066.6,6768.3,613.5
mt.Nd1,18263.4,22548.5,20504.4,24521.6,20701.0,16236.3,19461.6,23482.7,25614.2,19641.1
Prtn3,390.9,497.7,295.9,315.1,506.9,252.8,305.3,270.9,7331.8,565.4
Bsg,2473.2,2634.0,2283.7,1771.8,2005.0,1880.5,2407.2,2594.5,2837.6,2644.3
Rps4x,26275.9,12425.9,26104.6,17766.2,25763.6,22222.8,28854.3,12438.8,14138.7,12705.2
Ptma,9671.1,11100.8,10058.5,7002.8,10022.4,8484.4,11207.9,9046.6,9855.5,8587.5
Rps27a,9727.3,8331.3,9857.9,7623.4,10553.3,7750.8,10388.3,7220.7,7926.4,6390.7
X1810037I17Rik,2385.4,954.3,2403.9,2041.3,2395.9,2244.0,2603.9,1857.6,1815.5,1654.4
Spp1,88.8,84.6,51.8,73.2,358.8,76.0,128.3,105.5,270.6,98.4
Rpl34,11371.6,10583.5,11197.6,14215.7,12128.7,8880.4,12134.2,10327.4,10605.0,9351.1
H3f3b,5683.3,3926.5,6399.0,5876.5,6385.9,6106.9,7125.1,5839.7,5124.6,6178.0
Rpl27,8180.9,8402.8,7398.5,10232.7,7765.2,5797.7,8886.0,7084.9,7830.3,6421.6
Sem1,3314.2,3172.9,3053.0,4209.7,3268.3,2516.3,3881.5,2745.5,4027.4,2678.1
Xbp1,2028.1,1460.7,2023.9,2077.2,1608.8,1796.9,1913.6,1628.2,1566.6,1162.3
Rps8,18667.6,31638.9,20833.6,38022.9,17514.1,16597.6,22323.1,14464.5,15527.4,13802.1
Tubb5,4429.8,4182.4,4401.0,4110.2,4214.1,4433.7,3563.9,4249.8,3856.3,3793.0
Ifitm3,8620.8,6595.2,7521.5,7934.3,6720.7,6514.9,8888.8,4197.0,3190.0,2419.5
Rbx1,6814.2,3820.3,7114.7,6181.9,6232.5,6347.8,7673.9,5520.7,5695.5,5240.5
Mif,4152.2,4115.2,3985.9,4737.7,3128.2,3171.7,4554.0,4194.4,4111.3,3525.8
Sub1,4442.1,3026.5,4366.8,3853.1,4243.5,3719.7,5464.4,3274.2,3933.4,3370.6
Rpl32,10552.0,11126.8,10312.8,10427.5,12256.8,8668.8,11472.0,10670.9,11353.1,9938.7
Smc4,7021.4,4178.1,8741.9,5385.8,6876.8,7833.3,9535.1,5551.0,5856.5,6114.8
Anxa2,518.5,371.9,412.4,333.1,621.6,304.9,348.4,321.7,920.6,448.3
Atp5d,5538.3,4426.4,5505.0,4450.2,4966.5,5413.5,6300.8,5483.7,5454.0,5411.5
Cd47,5086.1,4125.0,6145.7,6791.4,5130.6,5043.5,5546.8,5286.0,6154.8,4897.9
Rpl23,14798.1,21183.3,16723.8,23880.4,17587.5,12872.5,16384.7,12628.6,12229.1,10172.2
Rps29,13845.8,18533.1,12897.9,20303.6,15171.6,9400.2,14193.0,15210.7,16788.2,12999.7
Rhog,1645.4,878.3,1534.8,785.0,1662.2,1564.7,1364.7,2046.8,3401.1,2120.6
Rpl28,9944.7,11396.8,9117.3,9753.1,9423.4,8027.5,11162.0,10690.0,12934.6,12210.9
