Gene,LSK-1,LSK-2,LSK-3,LSK-4,LSK-5,LSK-6,LSK-7,LSK-8,GMP,MEP,DN-1,DN-2,DN-3,DN-4,FcgR3-1,FcgR3-2,FcgR3-3,FcgR3-4,Mye-1,Mye-2,Mye-3
Hbb.bs,142.4,174.5,112.9,184.5,428.2,186.6,279.8,10.5,1.4,24.4,952.6,609.7,623.2,312.4,0.9,3.7,23.5,20.7,0.9,9.8,0.7
Hba.a1,56.4,62.3,45.6,56.2,157.4,59.4,103.0,0.7,0.7,0.0,274.9,173.2,228.5,144.9,7.2,14.4,7.8,17.0,1.8,4.9,0.7
Hbb.bt,1705.9,1827.1,1362.9,2039.1,1579.5,1734.5,2661.1,509.5,12.9,84.8,3114.0,2255.2,3692.0,2644.6,710.2,1047.8,548.8,823.6,45.9,246.1,32.7
Hba.a2,28.7,38.8,21.7,46.8,130.7,48.4,52.1,0.0,0.7,0.0,33.0,4.6,20.2,28.8,0.0,0.0,0.0,1.3,0.0,0.0,0.0
S100a8,173.8,269.5,127.0,547.9,824.4,190.7,297.1,26.4,724.5,29.5,6658.7,6410.0,747.0,6012.9,18699.3,45147.4,18249.4,9932.7,287901.9,279827.3,324296.1
S100a9,108.2,151.1,93.3,403.7,412.2,147.9,248.3,6.6,41.3,12.2,2247.5,1692.9,343.8,2039.4,6143.7,15183.9,5638.3,3336.0,143018.5,136801.5,170853.5
Lyz2,1917.6,1509.6,2214.7,2814.6,5258.6,1541.0,1006.3,1066.6,6768.3,613.5,495.8,567.0,485.9,448.7,622.0,863.2,642.7,382.0,13467.5,7855.1,11803.6
Pf4,12511.4,1888.3,12799.8,17199.6,3284.3,15581.2,1690.5,5296.5,4884.5,7806.6,24464.3,18835.1,14512.6,7605.9,702.1,1128.1,1307.0,1556.2,1178.7,1725.1,1343.3
Rps5,39180.1,43785.0,35971.0,41464.4,42149.1,34303.8,32744.9,34058.7,41379.7,34786.6,54937.1,164486.7,52557.0,61710.7,56809.0,58962.8,54659.2,57193.2,58352.3,44731.2,48362.9
Gpx1,7399.4,7362.3,5578.5,6532.2,6552.6,7070.5,8659.8,9341.9,16103.7,8433.7,13196.0,21543.0,13898.1,16979.4,23387.4,29572.1,21526.5,20878.2,32284.6,31615.6,28777.6
Car2,3319.2,3542.8,3591.7,4719.8,4027.4,2063.4,1327.3,3967.0,742.0,4637.8,10661.6,13851.2,7983.2,4402.8,417.7,493.6,733.5,899.0,179.1,333.9,152.4
Rpl18a,23051.7,23041.3,16879.8,22709.0,23194.3,27287.1,26989.1,21060.9,22178.0,18154.1,19580.5,26283.2,18776.9,20733.3,15334.4,17769.3,15814.8,14560.4,18035.3,13699.7,15475.1
mt.Cytb,85718.9,71216.3,68788.6,93119.5,87833.3,60213.0,29718.5,62316.6,74749.1,62282.4,34418.2,45473.9,35667.0,35127.3,37849.6,39995.7,45723.5,49898.6,42257.3,48751.5,37927.4
Rps14,15331.4,16448.6,12381.0,17741.0,15719.9,14557.1,18031.0,19188.2,21083.5,19286.2,22454.9,43734.9,26567.1,27621.8,20916.4,23352.9,18914.4,18180.5,21370.3,17387.7,19380.0
Rpl14,28694.4,30171.9,25860.0,34934.1,27809.9,33674.9,27096.4,28259.2,30847.7,29855.7,31096.7,37539.7,27563.8,30641.9,22925.6,27023.3,22891.2,29291.8,20105.2,20725.5,18342.7
Rps19,16381.7,17465.2,13272.9,17905.9,18813.4,16435.3,18289.1,19801.2,22324.1,18179.9,22017.5,66540.0,21275.4,25001.3,20748.1,22941.2,19257.3,19577.7,24240.3,20412.1,19653.3
Tmsb4x,9881.0,6729.5,10117.4,15443.4,13690.9,10265.8,8188.1,5914.2,12075.6,8703.1,22307.4,29272.8,23079.6,23071.0,26726.1,31590.0,21301.4,23298.8,81349.6,60572.7,80624.9
