Technology	sample	New_Name	atCIMA	tissue	seq_direction	markers	timepoint	Comments	md5sum	md5sumFile	Guides
											
CITE-seq	CITESEQ1	DM_CITEseq-1_NA_NM_1	NO	leukemia	3prime	noMarker	NA	Low specificty in the Atibody staining			noGuide
											
CITE-seq	CITESEQ2	DM_CITEseq-2_NA_NM_1	NO	leukemia	3prime	noMarker	NA	Good antibody staining			noGuide
											
ECCITE-seq	ECCITE1	DM_Test_NM_6d_1	NO	leukemia	5prime	noMarker	6d				Spi1, Kmt2d, Kmt2a, Smarcb1,NTC
											
Perturb-seq (10X)	ECCITE2	DM_Test2_NM_6d_1	NO	leukemia	3prime	noMarker	6d				Gata2,NTC
											
Perturb-seq (10X)	ECCITE3_high_14d	inVivo_Test_ckit_14d_1	YES	inVivo	3prime	ckit+	14d		fe33b36f3c2cee9c7aced5d73329ed57	inVivo_Test_ckit_14d_1/outs/metrics_summary.csv	Spi1, Kmt2d, Kmt2a, NTC
											
Perturb-seq (10X)	ECCITE3_high_7d	inVivo_Test_ckit_7d_1	YES	inVivo	3prime	ckit+	7d		045986a9cd694440a83e365c2a3667d5	inVivo_Test_ckit_7d_1/outs/metrics_summary.csv	Spi1, Kmt2d, Kmt2a, NTC
											
Perturb-seq (10X)	ECCITE3_low_14d	inVivo_Test_ckit_14d_2	YES	inVivo	3prime	ckit+	14d		81c421ddd369a40380f33bebb6682f3d	inVivo_Test_ckit_14d_2/outs/metrics_summary.csv	Spi1, Kmt2d, Kmt2a, NTC
											
Perturb-seq (10X)	ECCITE3_low_7d	inVivo_Test_ckit_7d_2	YES	inVivo	3prime	ckit+	7d		e1d4522b50eea9ce5fc614d8fb65dd46	inVivo_Test_ckit_7d_2/outs/metrics_summary.csv	Spi1, Kmt2d, Kmt2a, NTC
											
Perturb-seq (10X)	ECCITE4_Cas9	LSK_OP0_NM_7d_1	YES	exVivo1	3prime	noMarker	7d		f167871d5cf9a204a93e1c24df8d14f0	LSK_OP0_NM_7d_1/outs/metrics_summary.csv	NTC_0005 NTC_0011 Kmt2a_AS_44476 Kmt2a_Br_53969 Smarcd2_AS_14163 Smarcd2_Br_45401 Smarcd1_AS_15167 Smarcd1_AS_15166 Men1_AS_40514 Stag2_B_13071 Chd4_AS_66308 Chd4_AS_66310 Bcl11a_Br_5217 Brd9_AS_70306 Setd1b_Br_52333 Setd1b_AS_17785 Wdr82_Br_43556 Wdr82_Br_43558 
											
Perturb-seq (10X)	ECCITE4_WT	WT-LSK_OP0_NM_7d_1	YES	exVivo1	3prime	noMarker	7d		2c1a89d79c8fe9102753073e5c1af730	WT-LSK_OP0_NM_7d_1/outs/metrics_summary.csv	NTC_0005 NTC_0011 Kmt2a_AS_44476 Kmt2a_Br_53969 Smarcd2_AS_14163 Smarcd2_Br_45401 Smarcd1_AS_15167 Smarcd1_AS_15166 Men1_AS_40514 Stag2_B_13071 Chd4_AS_66308 Chd4_AS_66310 Bcl11a_Br_5217 Brd9_AS_70306 Setd1b_Br_52333 Setd1b_AS_17785 Wdr82_Br_43556 Wdr82_Br_43558 
											
Perturb-seq (10X)	ECCITE5	DM_OP0_NM_6d_1	YES	leukemia	3prime	noMarker	6d		30a842983c8442cc45120bdec781c61c	DM_OP0_NM_6d_1/outs/metrics_summary.csv	NTC_0005 NTC_0011 Kmt2a_AS_44476 Kmt2a_Br_53969 Smarcd2_AS_14163 Smarcd2_Br_45401 Smarcd1_AS_15167 Smarcd1_AS_15166 Men1_AS_40514 Stag2_B_13071 Chd4_AS_66308 Chd4_AS_66310 Bcl11a_Br_5217 Brd9_AS_70306 Setd1b_Br_52333 Setd1b_AS_17785 Wdr82_Br_43556 Wdr82_Br_43558 
											
