Gene	CellType
Osbpl5	CLP
A430088P11Rik	CLP
Hes6	CLP
P2ry14	CLP
Tmem119	CLP
Maml3	CLP
Mn1	CLP
Camkv	CLP
Mst1r	CLP
Btbd3	CLP
Dntt	CLP
Evpl	CLP
Il17re	CLP
4933406I18Rik	CLP
Klra8	CLP
Epha2	CLP
Kansl1l	CLP
Ctr9	CLP
C030034L19Rik	CLP
Cmah	CLP
Il7r	CLP
Gm5111	CLP
5830418P13Rik	CLP
Plekha7	CLP
4931440J10Rik	CLP
Emid1	CLP
Fgf13	CLP
Rasal1	CLP
Gprin3	CLP
Tnni1	CLP
Rhbdl3	CLP
Satb1	CLP
Tpm2	CLP
2610307P16Rik	CLP
Mef2c	CLP
Pard6g	CLP
Tmem121	CLP
Gpr171	CLP
Slc16a11	CLP
Cd209f	CLP
Arpp21	CLP
Lck	CLP
H2-Q4	CLP
Chd3os	CLP
Sh2d5	CLP
Gpr25	CLP
Paqr5	CLP
Ephb2	CLP
Sv2a	CLP
Nsg2	CLP
Zdhhc8	CLP
1700001C19Rik	CLP
Cd6	CLP
Hmga2	CLP
Adam2	CLP
Cd96	CLP
Sema4c	CLP
Col19a1	CLP
8430408G22Rik	CLP
Clnk	CLP
Slc25a53	CLP
Ccr9	CLP
Rag2	CLP
Gimap9	CLP
Klra21	CLP
Slc27a1	CLP
Kif17	CLP
Tmtc1	CLP
Slc6a19	CLP
Cacna1b	CLP
Rpgrip1	CLP
Cnrip1	CLP
Il18r1	CLP
9030619P08Rik	CLP
Cox6a2	CLP
Auts2	CLP
Sstr2	CLP
Il12a	CLP
AI661453	CLP
Tnfsf11	CLP
Adc	CLP
Rftn2	CLP
Slc18a1	CLP
Myl4	CLP
6330403A02Rik	CLP
Gimap7	CLP
Klhl30	CLP
Htra3	CLP
Slc35d3	CLP
Eid2	CLP
Flt3	CLP
Vmn2r19	CLP
Sirt5	CLP
Tmem56	EarlyEry
Spon2	EarlyEry
Sep-04	EarlyEry
Daam1	EarlyEry
Gata1	EarlyEry
Sphk1	EarlyEry
Lrrc36	EarlyEry
Cdr2	EarlyEry
Lmna	EarlyEry
Clcn2	EarlyEry
Add2	EarlyEry
Adcy6	EarlyEry
Steap3	EarlyEry
1700086O06Rik	EarlyEry
Gclm	EarlyEry
Selenbp1	EarlyEry
Fam132a	EarlyEry
Mylk3	EarlyEry
Gna14	EarlyEry
Aqp1	EarlyEry
Alad	EarlyEry
Syngr1	EarlyEry
Acmsd	EarlyEry
Ank1	EarlyEry
Gpc4	EarlyEry
Rhag	EarlyEry
Aldh1a1	EarlyEry
Golm1	EarlyEry
Abcg4	EarlyEry
Amigo2	EarlyEry
Txnrd2	EarlyEry
Trim2	EarlyEry
Fam109b	EarlyEry
Garem	EarlyEry
Ppp2r1b	EarlyEry
Mllt3	EarlyEry
Vstm5	EarlyEry
Cetn4	EarlyEry
Epdr1	EarlyEry
Cpox	EarlyEry
Tspan8	EarlyEry
Nxpe2	EarlyEry
Nags	EarlyEry
C530008M17Rik	EarlyEry
Btnl10	EarlyEry
Gls2	EarlyEry
Car1	EarlyEry
Nfia	EarlyEry
Mfsd2b	EarlyEry
Slc43a1	EarlyEry
Cela1	EarlyEry
Adamts3	EarlyEry
Dpf3	EarlyEry
Nudt9	EarlyEry
Prss50	EarlyEry
Il1rl1	EarlyEry
Slc6a20a	EarlyEry
Tnr	EarlyEry
Sdsl	EarlyEry
Tlcd1	EarlyEry
Tspo2	EarlyEry
Slc39a8	EarlyEry
Slc11a2	EarlyEry
Pkhd1l1	EarlyEry
Pfkm	EarlyEry
Acsl6	EarlyEry
Hpn	EarlyEry
Asns	EarlyEry
Mthfd1	EarlyEry
Ephx2	EarlyEry
Rhd	EarlyEry
Reps2	EarlyEry
Cnnm2	EarlyEry
Hars	EarlyEry
Arhgef25	EarlyEry
Apol8	EarlyEry
Spire1	EarlyEry
Gfap	EarlyEry
9430020K01Rik	EarlyEry
Spta1	EarlyEry
Gm15915	EarlyEry
Redrum	EarlyEry
Plvap	EarlyEry
Slc26a1	EarlyEry
Reep6	EarlyEry
Cenpv	EarlyEry
Zfp808	EarlyEry
Kcng2	EarlyEry
Sh3tc2	EarlyEry
Paqr4	EarlyEry
Nckap1	EarlyEry
Stx2	EarlyEry
Samd14	EarlyEry
Asb17os	EarlyEry
Aknad1	EarlyEry
4933431E20Rik	EarlyEry
Tac2	EarlyEry
Atp1b2	EarlyEry
Ncmap	EarlyEry
Aldh1a7	EarlyEry
Cdh13	EarlyEry
Ccne1	EarlyEry
Pklr	EarlyEry
Abcb4	EarlyEry
Xk	EarlyEry
M1ap	EarlyEry
Mns1	EarlyEry
Pdia2	EarlyEry
Slc38a5	EarlyEry
1300017J02Rik	EarlyEry
Sep-08	EarlyEry
Clca1	EarlyEry
Snx31	EarlyEry
Ctse	EarlyEry
Hemgn	EarlyEry
Tfr2	EarlyEry
Ntn4	EarlyEry
Arhgdig	EarlyEry
Rab4a	EarlyEry
6030468B19Rik	EarlyEry
Nqo1	EarlyEry
Ssx2ip	EarlyEry
Mt2	EarlyEry
Col5a1	EarlyEry
Gja1	EarlyEry
Gstm5	EarlyEry
Gdf3	EarlyEry
Hebp1	EarlyEry
Pxmp2	EarlyEry
Car2	EarlyEry
Smim1	EarlyEry
Tmprss6	EarlyEry
Scrn3	EarlyEry
Stard10	EarlyEry
Gfi1b	EarlyEry
Sptb	EarlyEry
Ptpn13	EarlyEry
Slc25a21	EarlyEry
Gm11837	EarlyEry
Cep76	EarlyEry
Arl4a	EarlyEry
Klf1	EarlyEry
Epor	EarlyEry
Kel	EarlyEry
Myh10	EarlyEry
Dyrk3	EarlyEry
Cited4	EarlyEry
March8	EarlyEry
Agtr1a	EarlyEry
1700001L05Rik	EarlyEry
B3galtl	EarlyEry
Ccdc74a	EarlyEry
Ermap	EarlyEry
Zg16	EarlyEry
Larp1b	EarlyEry
Blvrb	EarlyEry
Myo1d	EarlyEry
Lefty1	EarlyEry
Ubac1	EarlyEry
Optn	EarlyEry
Gm9895	EarlyEry
4933436C20Rik	EarlyEry
Nipa1	EarlyEry
Iqcd	EarlyEry
Ufsp1	EarlyEry
Aqp11	EarlyEry
Cldn13	EarlyEry
Sh2d4a	EarlyEry
Mboat2	EarlyEry
Parm1	EarlyEry
Ces2g	EarlyEry
Phyhip	EarlyEry
Kctd7	EarlyEry
Tspan33	EarlyEry
Minpp1	EarlyEry
Gm14005	EarlyMye
Elane	EarlyMye
Gpr160	EarlyMye
Ncam1	EarlyMye
Zfp516	EarlyMye
Serpine2	EarlyMye
Cebpa	EarlyMye
Mapkapk3	EarlyMye
Hsd17b1	EarlyMye
Nhsl2	EarlyMye
Mgl2	EarlyMye
B4galt4	EarlyMye
Mmp19	EarlyMye
Afap1	EarlyMye
Hk3	EarlyMye
Hspa13	EarlyMye
Anxa1	EarlyMye
Mefv	EarlyMye
Mcf2l	EarlyMye
Clec7a	EarlyMye
Pdia5	EarlyMye
AI839979	EarlyMye
Slco3a1	EarlyMye
Igsf6	EarlyMye
Spsb4	EarlyMye
App	EarlyMye
Cysltr1	EarlyMye
Depdc7	EarlyMye
Idh1	EarlyMye
Ctbp2	EarlyMye
Hlx	EarlyMye
Vav3	EarlyMye
Lmo1	EarlyMye
Cask	EarlyMye
Aatk	EarlyMye
Ston2	EarlyMye
Cst7	EarlyMye
Bmx	EarlyMye
Cpa3	EarlyMye
Ms4a2	EarlyMye
Pygl	EarlyMye
Ifitm7	EarlyMye
Vill	EarlyMye
Pram1	EarlyMye
0610040J01Rik	EarlyMye
Ugt1a5	EarlyMye
Tmem38b	EarlyMye
P2ry2	EarlyMye
Sdf2l1	EarlyMye
Rab32	EarlyMye
Csf3r	EarlyMye
Tnfsf13	EarlyMye
1700020L24Rik	EarlyMye
Cebpb	EarlyMye
Tctex1d1	EarlyMye
Flt1	EarlyMye
Cd300lb	EarlyMye
Dmxl2	EarlyMye
Hp	EarlyMye
Mapk4	EarlyMye
Prom1	EarlyMye
Atp8b4	EarlyMye
Kcnj2	EarlyMye
Rps6ka2	EarlyMye
Celsr3	EarlyMye
Mgst1	EarlyMye
Ms4a3	EarlyMye
Mmp28	EarlyMye
Trem3	EarlyMye
Fkbp1b	EarlyMye
Mitf	EarlyMye
Trim45	EarlyMye
Egln3	EarlyMye
Rhou	EarlyMye
Sowahc	EarlyMye
Pstpip2	EarlyMye
Bace1	EarlyMye
Plod3	EarlyMye
Gpr84	EarlyMye
Mfsd7a	EarlyMye
Lonrf3	EarlyMye
Fgl2	EarlyMye
Xdh	EarlyMye
Mtus1	EarlyMye
Ugt1a1	EarlyMye
Rtn4r	EarlyMye
S1pr2	EarlyMye
Kcnip3	EarlyMye
Ugt1a6b	EarlyMye
Clec5a	EarlyMye
Ttc39c	EarlyMye
Papss2	EarlyMye
Nostrin	EarlyMye
Fgd4	EarlyMye
Pros1	EarlyMye
Tuba8	EarlyMye
Elovl7	EarlyMye
Ap3s1	EarlyMye
Cebpd	EarlyMye
Mgam	EarlyMye
Emb	EarlyMye
Nxn	EarlyMye
Met	EarlyMye
Ugt1a7c	EarlyMye
Atp6ap2	EarlyMye
F13a1	EarlyMye
Ugt1a10	EarlyMye
F630028O10Rik	EarlyMye
Tnfsf12Tnfsf13	EarlyMye
S100a11	EarlyMye
Ms4a6c	EarlyMye
Ccl9	EarlyMye
Dgat2	EarlyMye
Hdc	EarlyMye
Tbc1d2	EarlyMye
Chst13	EarlyMye
Calr	EarlyMye
Celsr1	EarlyMye
Fam217b	EarlyMye
Olr1	EarlyMye
Ccr2	EarlyMye
Siglec5	EarlyMye
Apba1	EarlyMye
Nkg7	EarlyMye
Slc31a2	EarlyMye
Mrgpra2b	EarlyMye
Bambi-ps1	EarlyMye
Gstm1	EarlyMye
Ugt1a9	EarlyMye
Nrg2	EarlyMye
Wls	EarlyMye
Tnfrsf1b	EarlyMye
B4galt6	EarlyMye
Bzrap1	EarlyMye
Cebpe	EarlyMye
Ly6c2	EarlyMye
Gzmb	EarlyMye
Mpo	EarlyMye
Stxbp6	EarlyMye
Ugt1a2	EarlyMye
Mlkl	EarlyMye
Ugt1a6a	EarlyMye
Naip2	EarlyMye
Prtn3	EarlyMye
Tns4	EarlyMye
Lbp	EarlyMye
Sh3pxd2b	EarlyMye
Abcd2	EarlyMye
Lair1	EarlyMye
Cers6	EarlyMye
C3	EarlyMye
Clec11a	EarlyMye
